City,"Degree in progress",Department,Division,"End Date",Executive,"Graduation Date (Month and Year)","Hiring Manager","Job Code",Major,"Offer Accepted Date",Region,"Requisition ID","School Name",Source,"Source Type","Start Date",Title,id,"name_hash","s4g_team_id"
Plano,"B.S.","5230 Global SE",,"8/18/17","Susan St. Ledger","5/14/18","Jason Earnest",INT3US3,"Computer Science","3/16/17",Americas,6174,"Texas A&M University","Texas A&M","University Recruiting Event","6/5/17","Sales Engineer- Intern",45,8b108207c59f526d12656ecd1d210a0c3350b76278149deae116fcc85fbd82df,
Plano,"B.A.","5256 AMER BD",,"8/18/17","Susan St. Ledger","12/10/18","John Casone",INT2US3,"G&A (Marketing, Communications, etc)","3/22/17",Americas,6016,"Chattanooga State Community College",,"Career Site","5/30/17","Intern Sales (Lead Generation)",46,fea0766801cd56b202f2747eb8ba88ebc935a9780b39acab25b8d13792490a13,
"San Francisco","J.D.","2160 Legal",,"8/11/17","Lenny Stein","5/10/19","Theresa Chang",INTGUS1,"G&A (Marketing, Communications, etc)","1/24/17",Americas,5994,"UCLA School of Law",LinkedIn,"Job Board","5/22/17","Legal Intern",47,0ec4ada0dc3e80fe857af7f1e68f81f59a9683d21ab78b591127ae1c6c7bbefb,
McLean,"B.S.","5135 PubSecTvcs",,"8/18/17","Susan St. Ledger","5/1/18","Adilson Jardim",INT3US3,"Electrical Engineering & Computer Science","4/6/17",Americas,5836,"Pennsylvania State University","2017 Sr. Intern","University Recruiting Event","6/5/17","Sales Engineer Intern - Public Sector",48,cbd34659ce2579781a57b999f8e17a5fc764eca70124e4c51e247c0815fdfa35,
Plano,"B.S.","5170 InsideSMB",,"8/4/17","Susan St. Ledger","5/14/18","John Casone",INT4US3,"G&A (Marketing, Communications, etc)","3/12/17",Americas,6210,"Texas Christian University","Susan Palmer",Employee,"5/15/17","Intern Sales (Lead Generation)",49,90fa4d47fb8c37f19970cef5bdb5ec62921a9c2135c2f9ac672fc6f71e30cf9f,
"San Francisco","B.A.","4110 Applications",,"8/4/17","Richard Campione","12/14/18","Devendra Badhani",INT3US1T,"Computer Science","11/18/16",Americas,5749,"University of California, Berkeley",Berkeley,"University Recruiting Event","5/15/17","Software Engineer - Internship",50,8f9e7d0148a09153c6beb0681066e7a51ed84ce8774ad92571219fc647595f6e,5
"San Francisco","B.S.","2150 IT HQ",,"8/11/17","Dave Conte","5/18/18","Brian Spanswick",INT3US1,Business,"2/22/17",Americas,5939,USC,USC,"University Recruiting Event","5/30/17","Project Management Intern - Splunk IT",51,045b0c19ec90710f68df6edf0e0ea93ca9708d6b64d77e07c4b5390d1867081f,
"San Francisco","B.S.","5501 AMER SE",,"8/25/17","Susan St. Ledger","12/15/17","Vi LyJoe Welsh",INT3US1T,"Computer Engineering","4/13/17",Americas,6456,Berkeley,Berkeley,"University Recruiting Event","5/22/17","Forward Deployed Software Engineer Intern",52,e45bd5e5751089c74833947237c73092b779a68f0e8e71ff6175b86addc40b4f,
"San Francisco",Masters,"4150 Platform",,"8/11/17","Richard Campione","6/8/18","Andrew Robbins",INTGUS1T,"Computer Science","2/1/17",Americas,5734,"University of Southern California",USC,"University Recruiting Event","5/22/17","Software Engineer Intern",53,88abc476f3eb562175d66f6c35e51b6cdac986744bbd4b3e191ad48afe890027,5
"San Francisco",Masters,"2151 IT-Biz Apps",,"8/25/17","Dave Conte","5/18/18","Jyoti Balaji",INTGUS1T,"Information Science","3/16/17",Americas,6212,"Texas A&M University",,"Career Site","5/22/17","Business Applications Developer Intern",54,507434a2bf81c1b352d181384ddbfa9c5bfd2d41cc78623d07b0916913c032ca,7
"San Jose",Masters,"6212 Platform",,"8/18/17","Haiyan Song","5/11/18","Sathya Kavacheri",INTGUS1T,"Computer Science","5/5/17",Americas,6200,USC,,"Career Site","5/15/17","Software Engineer Internship",55,127cba28cf81a4d0964caf19c97ceafb08f4efa23c56e9e60af001203217c993,4
"San Jose",MBA,"2121 Corporate Business Ops",,"9/8/17","Dave Conte","5/11/18","Chris Grisanti",INTGUS1,Business,"3/20/17",Americas,6021,"University of Penn","Wharton_Job_Board","Job Board","7/31/17","MBA Internship - Business Operations and Strategy",56,2b86eac8e1187d60eea85f4d2fc0b0b87135092e147ec061042a4c2a938d99b5,
Shanghai,"B.S.","4200 Offshore",,"12/29/17","Richard Campione","6/29/18","Xiaolu Ye",INTCN,"Computer Science","5/2/17",APAC,5759,"Fudan University","Direct Source","Direct Source","5/15/17","Software Engineer Intern",57,ca19195a6d4d11df255dd3614f65a3db4fbf591550c0954fdd3aee360c103a6a,
London,"B.S.","5502 EMEA SE",,"6/22/18","Susan St. Ledger","6/14/19","Nick Barringer",INT2UK,"Computer Science","2/22/17",EMEA,5773,"Newcastle University",LinkedIn,"Job Board","6/26/17","Sales Engineer Intern, UK",58,94c35558431be4b4f065b7f0fabdbc43827b16189c68840eb448ed4a49bb61e7,
McLean,"B.S.","5230 Global SE",,"8/18/17","Susan St. Ledger","5/31/18","Eric Motz",INT3US3,Business,"3/23/17",Americas,6169,"Montclair State University",,"Career Site","6/5/17","Sales Engineer Intern",59,9c86471ffb26d8c81b6df4eb96effd80413a6016d4c8c418f7cb79d4dae147b8,
McLean,"B.A.","3160 FieldMkt",,"7/28/17","Brian Goldfarb","5/10/19","Melissa Hardt",INT2US3,Business,"2/21/17",Americas,5999,"The College of William and Mary","Melissa Hardt","Hiring Manager","5/15/17","Field Marketing Intern",60,2dc5fee19a951928e4abe9bac8c4b51737943aa75129cfc52122c0394767e1ed,
"San Francisco","B.S.","2140 HR",,"8/11/17","Tracy Edkins","5/25/18","Ashley Tsien",INT3US1,"G&A (Marketing, Communications, etc)","3/16/17",Americas,6005,"McGill University",LinkedIn,"Job Board","5/15/17","Human Resource Information System Intern",61,4273f78cd76f15454fff7c2cc90b91c265fa5bed78cae34ebc8d01dc9261b7f9,2
Shanghai,Masters,"4200 Offshore",,"12/29/17","Richard Campione","6/29/18","Xiaolu Ye",INTCN,"Software Engineering","5/9/17",APAC,5762,"University of Science and Technology of Chin","Direct Source","Direct Source","6/12/17","Software Engineer Intern",62,5e9ca77521c872baeec5caf1dd8965b607d9eba622c21b8c52ab4c60728353b9,
"San Francisco",Masters,"5230 Global SE",,"8/18/17","Susan St. Ledger","5/18/18","Ariel Velasco",INTGUS1,"Computer Engineering","4/4/17",Americas,6292,"UC Berkeley",,"Career Site","6/5/17","Sales Engineer- Intern",63,a758ea4699b934e8f06353785051fa076a08c72d797b6ff1a5856cb95ca6369d,
Seattle,"B.S.","12110 ProdMgmt",,"9/8/17","Rick Fitz","6/8/18","Marc Chene",INT3US2T,"Computer Science","5/1/17",Americas,5992,"University of Washington",,"Career Site","6/19/17","Product Manager Intern",64,8ab7516ac336b55e2384197dd678ef855881690fccce9d766b3c4d288dd3b9aa,
"San Francisco","B.S.","4110 Applications",,"8/11/17","Richard Campione","5/11/18","Alan Hardin",INT3US1T,"Computer Science","11/3/16",Americas,5671,Berkeley,Berkeley,"University Recruiting Event","5/22/17","Software Engineer- Internship",65,a0f1bb00f002596b7b8a773dc0233471c36cdbd6aa6bbb404c71fd18479545d0,
Shanghai,Masters,"4200 Offshore",,"12/30/17","Richard Campione","3/30/18","Xiaolu Ye",INTCN,"G&A (Marketing, Communications, etc)","1/26/17",APAC,5758,"Tongji University","Direct Source","Direct Source","2/6/17","Software Engineer Intern",66,6d4fe39ce6e12c0a462041699edfc670ac0591dc399fa55e63912d19081f6672,
"San Francisco","B.A.","3110 CorpMkt",,"8/11/17","Brian Goldfarb","5/18/18","Melanie Duzyj",INT3US1,"G&A (Marketing, Communications, etc)","3/28/17",Americas,5950,"University of Penn",,"Career Site","5/22/17","Customer Marketing Intern",67,c0fc124db91d27bf3b157935e2b413da63e71628f35e82a878e23e9e1db93ad6,
Vancouver,"P.h.D.","4230 Incubation",,"8/18/17","Richard Campione","12/22/17","Toufic Boubez",INTGCAT,Statistics,"2/7/17",Americas,5775,"University of British Columbia","Fred Zhang",Employee,"5/1/17","Software Engineer - Machine Learning Co-Op",68,ed4f55e41265ff7fec9637c68d40c0d8b2e78203c8fa76f977be428e0151b932,
"San Francisco","B.S.","4150 Platform",,"9/8/17","Richard Campione","6/15/18","Igor Braylovskiy",INT3US1T,"Computer Science","2/6/17",Americas,5803,"University of California San Diego","Vladimir Kanevsky",Employee,"6/19/17","Software Engineer (Core) - Intern",69,0996dd61fc5b1136bd3290600e05f503276a1382498382207c57640eb6936525,
Vancouver,"B.S.","4110 Applications",,"8/18/17","Richard Campione","5/11/18","Nicholas Fleming",INT3CAT,"Computer Science","2/27/17",Americas,5893,"University of British Columbia","Jonathan Ng",Employee,"5/1/17","Software Engineer - Intern",70,b374893ec94e7a27e38ab285cda3f2079c4d86675c3ba6ac0baaf12b395b78ca,
Vancouver,"B.S.","4150 Platform",,"4/28/17","Richard Campione","5/11/18","Nicholas Fleming",INT3CAT,"Computer Science","10/6/16",Americas,5573,"University of British Columbia",UBC,"University Recruiting Event","1/2/17","Web Developer (Co-op)",71,b374893ec94e7a27e38ab285cda3f2079c4d86675c3ba6ac0baaf12b395b78ca,
Shanghai,Masters,"4200 Offshore",,"7/28/17","Richard Campione","7/27/18","Xiaolu Ye",INTCN,"Computer Science","3/28/17",APAC,5760,"Fudan University","Direct Source","Direct Source","4/5/17","Software QA Engineer Intern",72,2ae3f52a4c1d467394dc866ee95c5449459f319d8c44d282bbf263ffdb744074,
"San Francisco","B.S.","2151 IT-Biz Apps",,"8/18/17","Dave Conte","5/18/18","Kevin Sequeira",INT3US1,Economics,"2/15/17",Americas,6012,"Whitman College","Doug Merritt",Employee,"5/30/17","Business Analyst Intern",73,1a13262711b72c26bdbbba69b3250750cf1fb91f91e7cebf0f4ba95a6691445c,3
Seattle,"B.S.","3130 ProductMkt",,"8/25/17","Brian Goldfarb","6/14/19","Jon RooneyKeegan Dubbs",INT2US2,"Computer Engineering","2/21/17",Americas,5910,"Rensselaer Polytechnic Institute",,"Career Site","6/5/17","Product Marketing Intern",74,cdfd54e115d37c47a0c6a75c5879fbd4599c1874b8bfdccea893d8ec2d450b1e,
